equity_flop;pdata_average_1;pdata_average_2;pdata_average_3;pdata_average_4;pdata_before_me_1;pdata_before_me_2;pdata_before_me_3;pdata_before_me_4;i_call_preflop;i_bet_preflop;i_call_flop;i_bet_flop;potheight;potheight_after_preflop;to_call;decision;num_active_players;num_active_players_before_me;flop_feat_1;flop_feat_2;flop_feat_3;flop_feat_4;flop_feat_5;flop_feat_6;flop_feat_7;flop_feat_8;flop_feat_9;flop_feat_10;flop_feat_11;flop_feat_12;flop_feat_13;flop_feat_14;flop_feat_15;flop_feat_16;flop_feat_17;flop_feat_18;flop_feat_19;flop_feat_20;flop_feat_21;flop_feat_22;flop_feat_23;flop_feat_24;flop_feat_25;flop_feat_26;flop_feat_27;flop_feat_28;flop_feat_29;flop_feat_30;flop_feat_31;flop_feat_32;label
0.63235956;0;0;0;0;0;0;0;0;2.0;0.0;0.0;0.0;13.0;13.0;0.0;0.0;3;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.8333333;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.5555556;1.0833334;0.0;0.0;0.0;0.0;1.0;0.0;1.1866666666666665
0.63235956;0;0;0;0;0;0;0;0;2.0;0.0;0.0;0.0;17.3;13.0;4.3;0.5375;2;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.8333333;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.5555556;1.0833334;0.0;0.0;0.0;0.0;1.0;0.0;1.1866666666666665
0.23670873;0.3333333333333333;0.0;0.0;0.0;0;0;0;0;1.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;3;2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33333334;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.44444445;1.0833334;0.0;0.0;0.0;0.0;0.0;0.0;0.01999999999999981
0.3832053;0.5933333333333334;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;1.0;4.0;3.5;0.0;0.125;3;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.75;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6666667;1.1666666;0.0;0.0;0.0;0.0;1.0;0.0;-0.7933333333333332
0.76956046;0.71;1.3466666666666667;0.25333333333333335;0.13333333333333333;0.75;3.52;0.33;0.15;1.5;0.0;0.0;3.0;8.0;7.0;0.0;0.5;3;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0833334;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.44444445;1.1666666;0.0;0.0;0.0;1.0;1.0;1.0;0.6099999999999999
0.76956046;0.75;3.52;0.33;0.15;0.75;3.52;0.33;0.15;1.5;0.0;9.6;3.0;25.6;7.0;9.6;1.2;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0833334;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.44444445;1.1666666;0.0;0.0;0.0;1.0;1.0;1.0;0.6099999999999999
0.6174285;0.37666666666666665;0.12333333333333334;0.0;0.0;0.42;0.25;0.0;0.0;0.5;0.0;0.0;3.0;4.0;4.0;0.0;0.5;3;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5833333;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.44444445;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5300000000000001
0.4823563;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.5;1;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.33333334;0.75;0.0;1.0;0.0;1.0;0.0;0.0;0.03000000000000019
0.502602;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;2;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.8333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.33333334;1.0833334;0.0;0.0;0.0;0.0;1.0;0.0;0.01999999999999981
0.7764105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.5;2.5;0.0;0.0;1;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.33333334;1.0833334;0.0;0.0;0.0;1.0;1.0;1.0;0.04333333333333371
0.85722655;0.31666666666666665;0.07666666666666667;0.02666666666666667;0.0;0.33;0.17;0.0;0.0;0.5;0.0;0.0;2.0;4.0;4.0;0.0;0.25;3;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3888889;1.0;0.0;0.0;0.0;0.0;1.0;1.0;-3.0833333333333335
0.85722655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;4.0;2.0;12.0;4.0;4.0;0.5;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3888889;1.0;0.0;0.0;0.0;0.0;1.0;1.0;-3.0833333333333335
0.8424903;0.5066666666666667;0.15666666666666668;0.25333333333333335;0.05333333333333334;0.59;0.33;0.38;0.1;4.0;0.0;0.0;0.0;30.0;16.0;10.0;1.25;3;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.1666666;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.22222222;1.0833334;0.0;1.0;0.0;1.0;1.0;1.0;-3.3
0.5279406;0.7150000000000001;0.23500000000000001;0.0;0.09;0.78;0.33;0.0;0.0;2.5;0.0;0.0;0.0;11.4;9.5;1.9;0.2375;2;2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.1666666;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.3888889;1.0833334;0.0;1.0;0.0;1.0;1.0;0.0;-0.6533333333333331
0.72353846;0.61;0.055;0.25;0.04;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;5.0;0.0;0.0;2;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.9166667;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.11111111;0.5833333;0.0;2.0;0.0;1.0;1.0;0.0;0.6300000000000002
0.72353846;0.61;0.055;0.25;0.04;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;12.0;5.0;3.0;0.75;2;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.9166667;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.11111111;0.5833333;0.0;2.0;0.0;1.0;1.0;0.0;0.6300000000000002
